slug,route,file,theme,status,notes
analytics-plant-overview-dark,/analytics?scope=Plant%3Ac7edd815-f2c2-4b39-97f5-065ed73787dc,07-analytics/analytics-plant-overview-dark.png,dark,pass,""
reports-generate,/reports,08-reports/reports-generate.png,light,pass,""
reports-history,/reports?tab=history,08-reports/reports-history.png,light,pass,""
reports-schedules-list,/reports?tab=schedules,08-reports/reports-schedules-list.png,light,pass,""
reports-custom-designer,/reports?tab=custom,08-reports/reports-custom-designer.png,light,pass,""
reports-schedules-delivery,/reports?tab=schedules (Delivery),08-reports/reports-schedules-delivery.png,light,pass,""
builder-new-blank,/builder,09-builder/builder-new-blank.png,light,pass,""
builder-edit,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-edit.png,light,pass,""
builder-edit-dark,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-edit-dark.png,dark,pass,""
builder-preview-mode,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf preview,09-builder/builder-preview-mode.png,light,pass,""
builder-properties-data,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf #Data,09-builder/builder-properties-data.png,light,pass,""
builder-properties-widget,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-properties-widget.png,light,skip,"tab still missing after select"
builder-properties-layout,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf #Layout,09-builder/builder-properties-layout.png,light,pass,""
builder-template-gallery-drawer,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf templates,09-builder/builder-template-gallery-drawer.png,light,pass,""
builder-version-history,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf history,09-builder/builder-version-history.png,light,pass,""
admin-hierarchy,/admin?tab=hierarchy,10-admin/admin-hierarchy.png,light,pass,""
admin-plc,/admin?tab=plc,10-admin/admin-plc.png,light,pass,""
admin-tags,/admin?tab=tags,10-admin/admin-tags.png,light,pass,""
admin-shifts,/admin?tab=shifts,10-admin/admin-shifts.png,light,pass,""
admin-reason-catalog,/admin?tab=faults,10-admin/admin-reason-catalog.png,light,pass,""
admin-control-tags,/admin?tab=controls,10-admin/admin-control-tags.png,light,pass,""
admin-recipes-catalog,/admin?tab=recipes&recipesTab=catalog,10-admin/admin-recipes-catalog.png,light,pass,""
admin-recipes-line-speeds,/admin?tab=recipes&recipesTab=line-speeds&lineId=82c97496-05f2-4421-a890-93d903600622,10-admin/admin-recipes-line-speeds.png,light,pass,""
admin-recipes-review,/admin?tab=recipes&recipesTab=review,10-admin/admin-recipes-review.png,light,pass,""
admin-users,/admin?tab=users,10-admin/admin-users.png,light,pass,""
admin-audit,/admin?tab=audit,10-admin/admin-audit.png,light,pass,""
admin-appearance,/admin?tab=appearance,10-admin/admin-appearance.png,light,pass,""
admin-license,/admin?tab=license,10-admin/admin-license.png,light,pass,""
admin-system,/admin?tab=system,10-admin/admin-system.png,light,pass,""
admin-templates-gallery,/admin?tab=templates,10-admin/admin-templates-gallery.png,light,pass,""
admin-widgets-gallery,/admin?tab=widgets,10-admin/admin-widgets-gallery.png,light,pass,""
admin-hierarchy-dark,/admin?tab=hierarchy,10-admin/admin-hierarchy-dark.png,dark,pass,""
modal-tag-picker,/admin?tab=tags (picker),12-modals/modal-tag-picker.png,light,pass,""
drawer-plc-edit,/admin?tab=plc edit,12-modals/drawer-plc-edit.png,light,pass,""
modal-apply-template,/ apply template,12-modals/modal-apply-template.png,light,pass,""
dev-templates-gallery-light,/dev/templates,11-dev-galleries/dev-templates-gallery-light.png,light,pass,""
dev-widgets-gallery-light,/dev/widgets,11-dev-galleries/dev-widgets-gallery-light.png,light,pass,""
login-mfa,/login (mfa),01-auth/login-mfa.png,light,skip,"seed admin has no MFA challenge"
login-must-change-password,/login (must-change),01-auth/login-must-change-password.png,light,skip,"seed admin password already set"
trial-banner,shell banner,01-auth/trial-banner.png,light,skip,"Personal/active license - trial banner not visible"
gallery-widgets-pack, /dev/widgets, 11-dev-galleries/widgets/*.png, light+dark, pass, "111 widgets x light+dark via capture-widget-screenshots.mjs"
gallery-templates-pack, /dev/templates, 11-dev-galleries/templates/*.png, light+dark, pass, "8 templates + gallery boards x light+dark via capture-template-screenshots.mjs"
